vinH,vrmH,noOfAxlesH,systemNumberH,odometerReadingH,testEndTimestampH,testStartTimestampH,testStationPNumberH ,testerEmailAddressH,vehicleCodeH,vehicleDescH,vehicleTypeH
A00878838,H4A4A36,2,20000044,224149,2018-10-02T07:56:32.000000Z,2018-10-02T07:37:21.000000Z,P50822,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00884602,C8B0D49,2,20000045,155414,2019-05-29T15:01:10.000000Z,2019-05-29T14:51:12.000000Z,P50819,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00933261,F3F6J37,3,20000046,3715,2019-05-17T14:30:59.000000Z,2019-05-17T14:12:36.000000Z,P50402,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00947694,G1G0B44,3,20000047,929893,2017-12-11T14:11:15.000000Z,2017-12-11T14:04:58.000000Z,P50720,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00960790,F7A6E09,2,20000048,916304,2018-04-14T00:00:00.000000Z,2018-04-14T00:00:00.000000Z,P50292,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00965930,F2G2D27,2,20000049,920316,2018-09-17T08:02:15.000000Z,2018-09-17T07:55:28.000000Z,P50440,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00973388,B7E0J38,4,20000050,1674,2019-08-14T12:56:50.000000Z,2019-08-14T12:34:18.000000Z,P10249,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00989004,E2I2D89,3,20000051,443042,2018-01-16T09:24:22.000000Z,2018-01-16T08:40:48.000000Z,P50747,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00992006,B2B3E86,3,20000052,405581,2017-12-21T09:35:38.000000Z,2017-12-21T09:09:01.000000Z,P50336,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00992307,D0D2H72,3,20000053,2022,2017-11-28T14:00:27.000000Z,2017-11-28T13:54:19.000000Z,P50453,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00998590,F1A4E13,2,20000054,406422,2018-05-15T14:02:49.000000Z,2018-05-15T13:14:28.000000Z,P50731,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01017709,I4D4I20,4,20000055,644419,2018-08-14T13:09:38.000000Z,2018-08-14T12:55:12.000000Z,P50354,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01022760,E5E7A57,2,20000056,189215,2018-07-27T10:56:40.000000Z,2018-07-27T10:44:56.000000Z,P50711,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01031955,A0G6B52,2,20000057,54191,2017-10-11T16:42:40.000000Z,2017-10-11T16:36:27.000000Z,P50647,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01041452,B6I6D62,2,20000058,3009,2018-05-16T08:17:15.000000Z,2018-05-16T08:00:09.000000Z,P10251,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01051616,G3A9G20,2,20000059,264811,2019-03-25T14:38:57.000000Z,2019-03-25T14:27:10.000000Z,P50856,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01084793,J8F1J45,3,20000060,716842,2018-05-31T16:29:55.000000Z,2018-05-31T15:21:06.000000Z,P50813,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01109671,F5E3E57,2,20000061,550896,2019-08-06T14:57:27.000000Z,2019-08-06T14:39:44.000000Z,P50589,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01113678,I2C5G53,3,20000062,206668,2019-01-11T12:36:39.000000Z,2019-01-11T12:20:35.000000Z,P50472,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01114949,A6C4A42,3,20000063,285218,2018-08-08T15:14:04.000000Z,2018-08-08T15:04:03.000000Z,P50269,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01136633,F5G2A45,2,20000064,98201,2018-11-07T15:09:02.000000Z,2018-11-07T14:47:53.000000Z,P50292,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01164822,F9I9B74,2,20000065,263218,2019-04-26T09:30:03.000000Z,2019-04-26T09:26:19.000000Z,P50683,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01204245,E5B2F63,2,20000066,299242,2018-01-24T13:14:00.000000Z,2018-01-24T13:07:05.000000Z,P50429,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01213695,E0F3E53,2,20000067,239382,2017-10-25T10:46:03.000000Z,2017-10-25T10:30:22.000000Z,P50694,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01264127,A6A4H24,2,20000068,55131,2018-05-23T13:22:03.000000Z,2018-05-23T13:01:03.000000Z,P50387,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01285253,E0I1F44,2,20000069,65515,2018-02-21T10:23:01.000000Z,2018-02-21T09:37:31.000000Z,P10249,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01292031,F6J4I11,2,20000070,503614,2018-02-28T14:35:05.000000Z,2018-02-28T14:21:36.000000Z,P50387,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01298456,I1J3B54,2,20000071,544368,2018-12-05T09:48:10.000000Z,2018-12-05T09:30:02.000000Z,P50382,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01301311,F0F3F03,2,20000072,714948,2018-02-12T10:22:25.000000Z,2018-02-12T10:09:52.000000Z,P50731,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01316466,I3E1J29,3,20000073,790284,2019-01-30T14:33:23.000000Z,2019-01-30T14:07:34.000000Z,P50589,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01392104,C1F6B45,2,20000074,2948,2018-12-28T12:14:16.000000Z,2018-12-28T11:47:36.000000Z,P50382,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01425532,B1B4E87,2,20000075,172075,2019-09-04T10:52:27.000000Z,2019-09-04T10:21:45.000000Z,P50731,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01443794,F1J7F10,2,20000076,188176,2018-07-13T16:21:51.000000Z,2018-07-13T16:19:25.000000Z,P50547,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01473220,H2A0B34,2,20000077,13480,2018-06-11T00:00:00.000000Z,2018-06-11T00:00:00.000000Z,P50525,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01490895,C7I0H40,2,20000078,142560,2018-05-24T00:00:00.000000Z,2018-05-24T00:00:00.000000Z,P50362,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01490895,C7I0H40,2,20000079,143170,2019-05-23T09:23:46.000000Z,2019-05-23T09:14:43.000000Z,P50362,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01499522,E2D1B51,3,20000080,428535,2019-01-23T14:19:56.000000Z,2019-01-23T14:10:25.000000Z,P50669,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01526760,D8F7I13,4,20000081,2906,2018-11-21T09:52:42.000000Z,2018-11-21T09:39:08.000000Z,P50383,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A01546643,B6E4C04,2,20000082,472323,2019-05-24T12:49:42.000000Z,2019-05-24T12:32:46.000000Z,P50589,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
