vinT,noOfAxlesT,systemNumberT,testEndTimestampT ,testStartTimestampT,testStationPNumberT,testerEmailAddressT,trailerId,vehicleCodeT,vehicleDescriptionT,vehicleTypeT
A00905918,1,30000017,2018-02-07T10:47:02.000Z,2018-02-07T10:14:03.000Z,P50284,cvs_migrated_tester@dvsa.gov.uk,B434656,t,trailer,trl
A01159068,1,30000018,2017-11-22T13:08:14.000Z,2017-11-22T12:41:46.000Z,P50602,cvs_migrated_tester@dvsa.gov.uk,B388978,t,trailer,trl
A01616820,1,30000019,2018-05-01T11:58:32.000Z,2018-05-01T11:57:41.000Z,P50352,cvs_migrated_tester@dvsa.gov.uk,B404594,t,trailer,trl
A01640191,1,30000020,2018-02-12T09:27:02.000Z,2018-02-12T09:06:03.000Z,P50477,cvs_migrated_tester@dvsa.gov.uk,B407554,t,trailer,trl
A01741274,1,30000021,2019-04-23T08:29:22.000Z,2019-04-23T08:02:44.000Z,P50321,cvs_migrated_tester@dvsa.gov.uk,B410229,t,trailer,trl
A01928610,1,30000022,2019-08-14T12:14:38.000Z,2019-08-14T12:00:50.000Z,P50652,cvs_migrated_tester@dvsa.gov.uk,B414433,t,trailer,trl
A01933756,1,30000023,2018-10-24T13:34:39.000Z,2018-10-24T13:12:39.000Z,P50663,cvs_migrated_tester@dvsa.gov.uk,B414562,t,trailer,trl
A01977763,1,30000024,2019-02-25T12:55:23.000Z,2019-02-25T12:42:23.000Z,P50526,cvs_migrated_tester@dvsa.gov.uk,B415724,t,trailer,trl
A02014115,1,30000025,2018-02-12T10:52:19.000Z,2018-02-12T10:38:59.000Z,P50764,cvs_migrated_tester@dvsa.gov.uk,B416640,t,trailer,trl
A02051203,1,30000026,2018-10-02T08:23:47.000Z,2018-10-02T08:01:07.000Z,P50602,cvs_migrated_tester@dvsa.gov.uk,B417398,t,trailer,trl
A02067328,1,30000027,2018-05-16T07:31:07.000Z,2018-05-16T07:00:50.000Z,P50672,cvs_migrated_tester@dvsa.gov.uk,B417708,t,trailer,trl
A02091973,1,30000028,2018-07-26T15:38:34.000Z,2018-07-26T15:19:49.000Z,P50598,cvs_migrated_tester@dvsa.gov.uk,B418149,t,trailer,trl
A02365037,1,30000029,2018-11-13T11:07:02.000Z,2018-11-13T11:05:08.000Z,P50735,cvs_migrated_tester@dvsa.gov.uk,B423483,t,trailer,trl
A02409108,1,30000030,2019-04-03T13:40:39.000Z,2019-04-03T13:28:34.000Z,P50360,cvs_migrated_tester@dvsa.gov.uk,B424696,t,trailer,trl
A02537272,1,30000031,2018-05-17T11:52:48.000Z,2018-05-17T11:28:18.000Z,P50678,cvs_migrated_tester@dvsa.gov.uk,B427870,t,trailer,trl
A02553454,1,30000032,2018-06-18T10:46:08.000Z,2018-06-18T10:30:35.000Z,P50602,cvs_migrated_tester@dvsa.gov.uk,B428256,t,trailer,trl
A02585591,1,30000033,2019-08-14T08:09:04.000Z,2019-08-14T08:00:16.000Z,P50745,cvs_migrated_tester@dvsa.gov.uk,B429081,t,trailer,trl
A02599259,1,30000034,2019-03-12T07:29:56.000Z,2019-03-12T07:16:21.000Z,P50672,cvs_migrated_tester@dvsa.gov.uk,B429435,t,trailer,trl
A02629668,1,30000035,2019-02-01T12:20:33.000Z,2019-02-01T12:01:50.000Z,P50714,cvs_migrated_tester@dvsa.gov.uk,B430200,t,trailer,trl
A02632211,1,30000036,2018-12-12T09:13:58.000Z,2018-12-12T09:01:44.000Z,P50711,cvs_migrated_tester@dvsa.gov.uk,B430236,t,trailer,trl
A02644554,1,30000037,2017-12-15T10:16:01.000Z,2017-12-15T10:01:31.000Z,P50797,cvs_migrated_tester@dvsa.gov.uk,B430540,t,trailer,trl
A02646005,1,30000038,2018-07-09T14:27:12.000Z,2018-07-09T14:09:57.000Z,P50532,cvs_migrated_tester@dvsa.gov.uk,B430591,t,trailer,trl
A02665737,1,30000039,2017-10-27T16:07:03.000Z,2017-10-27T14:56:22.000Z,P50663,cvs_migrated_tester@dvsa.gov.uk,B430979,t,trailer,trl
A02723013,1,30000040,2019-07-19T11:38:41.000Z,2019-07-19T11:27:08.000Z,P50332,cvs_migrated_tester@dvsa.gov.uk,B432512,t,trailer,trl
A02808507,1,30000041,2018-07-19T13:46:18.000Z,2018-07-19T13:43:38.000Z,P50581,cvs_migrated_tester@dvsa.gov.uk,B434831,t,trailer,trl
A02820956,1,30000042,2018-01-10T13:44:19.000Z,2018-01-10T13:18:45.000Z,P50720,cvs_migrated_tester@dvsa.gov.uk,B435070,t,trailer,trl
A02840071,1,30000043,2018-09-28T11:06:59.000Z,2018-09-28T10:52:19.000Z,P50290,cvs_migrated_tester@dvsa.gov.uk,B435519,t,trailer,trl
A02840576,1,30000044,2019-07-30T14:10:23.000Z,2019-07-30T13:21:03.000Z,P50765,cvs_migrated_tester@dvsa.gov.uk,B435535,t,trailer,trl
A02847138,1,30000045,2019-02-08T13:21:51.000Z,2019-02-08T12:39:22.000Z,P50366,cvs_migrated_tester@dvsa.gov.uk,B435676,t,trailer,trl
A02859275,1,30000046,2018-07-26T11:55:19.000Z,2018-07-26T11:29:43.000Z,P50676,cvs_migrated_tester@dvsa.gov.uk,B436054,t,trailer,trl
A02885455,1,30000047,2018-03-29T12:42:02.000Z,2018-03-29T12:30:41.000Z,P50436,cvs_migrated_tester@dvsa.gov.uk,B436675,t,trailer,trl
A03008677,1,30000048,2018-10-23T11:15:28.000Z,2018-10-23T11:02:54.000Z,P50311,cvs_migrated_tester@dvsa.gov.uk,B440011,t,trailer,trl
A03038024,1,30000049,2019-02-26T10:35:53.000Z,2019-02-26T10:20:34.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B440948,t,trailer,trl
A03044829,1,30000050,2018-05-10T08:04:05.000Z,2018-05-10T08:00:00.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B441118,t,trailer,trl
A03060148,1,30000051,2018-10-16T10:40:09.000Z,2018-10-16T10:16:43.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B441521,t,trailer,trl
A03082693,1,30000052,2019-09-05T08:12:05.000Z,2019-09-05T07:59:56.000Z,P50381,cvs_migrated_tester@dvsa.gov.uk,B442114,t,trailer,trl
A03095728,1,30000053,2018-03-08T14:01:42.000Z,2018-03-08T13:49:31.000Z,P50352,cvs_migrated_tester@dvsa.gov.uk,B442488,t,trailer,trl
A03100930,1,30000054,2018-09-13T12:00:15.000Z,2018-09-13T11:40:49.000Z,P50676,cvs_migrated_tester@dvsa.gov.uk,B442610,t,trailer,trl
A03118574,1,30000055,2018-10-04T11:18:40.000Z,2018-10-04T10:58:59.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B443246,t,trailer,trl
A03148396,1,30000056,2019-05-03T15:58:18.000Z,2019-05-03T15:40:48.000Z,P50343,cvs_migrated_tester@dvsa.gov.uk,B444161,t,trailer,trl
A03168671,1,30000057,2019-08-06T00:00:00.000Z,2019-08-06T00:00:00.000Z,P50705,cvs_migrated_tester@dvsa.gov.uk,B444873,t,trailer,trl
A03173805,1,30000058,2018-10-17T08:39:45.000Z,2018-10-17T08:32:27.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B445073,t,trailer,trl
A03232413,1,30000059,2018-04-18T13:06:49.000Z,2018-04-18T12:39:10.000Z,P50352,cvs_migrated_tester@dvsa.gov.uk,B446724,t,trailer,trl
A03310368,1,30000060,2019-08-20T11:01:41.000Z,2019-08-20T10:41:35.000Z,P50824,cvs_migrated_tester@dvsa.gov.uk,B448822,t,trailer,trl
A03381525,1,30000061,2019-08-08T12:58:07.000Z,2019-08-08T12:23:34.000Z,P50486,cvs_migrated_tester@dvsa.gov.uk,B450514,t,trailer,trl
A03384888,1,30000062,2019-03-06T10:20:42.000Z,2019-03-06T10:02:19.000Z,P50441,cvs_migrated_tester@dvsa.gov.uk,B450603,t,trailer,trl
A03417768,1,30000063,2017-11-02T15:18:37.000Z,2017-11-02T12:30:39.000Z,H00064,cvs_migrated_tester@dvsa.gov.uk,B451409,t,trailer,trl
A03420343,1,30000064,2018-02-06T14:42:06.000Z,2018-02-06T14:12:42.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B451473,t,trailer,trl
A03434790,1,30000065,2018-01-24T09:22:44.000Z,2018-01-24T08:54:16.000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,B451785,t,trailer,trl
A03435056,1,30000066,2018-01-30T10:56:29.000Z,2018-01-30T10:34:14.000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,B451794,t,trailer,trl
A03452318,1,30000067,2018-05-22T17:30:59.000Z,2018-05-22T17:05:49.000Z,P50543,cvs_migrated_tester@dvsa.gov.uk,B452340,t,trailer,trl
A03453659,1,30000068,2018-04-30T17:33:34.000Z,2018-04-30T17:15:55.000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,B452372,t,trailer,trl
A03456436,1,30000069,2018-06-08T09:03:23.000Z,2018-06-08T08:39:56.000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,B452448,t,trailer,trl
A03461125,1,30000070,2018-04-25T10:53:35.000Z,2018-04-25T10:25:31.000Z,H00103,cvs_migrated_tester@dvsa.gov.uk,B452609,t,trailer,trl
A03461972,1,30000071,2018-06-06T11:30:43.000Z,2018-06-06T11:30:08.000Z,H00029,cvs_migrated_tester@dvsa.gov.uk,B452620,t,trailer,trl
A03505018,1,30000072,2018-10-26T10:41:40.000Z,2018-10-26T10:13:27.000Z,P50847,cvs_migrated_tester@dvsa.gov.uk,B453752,t,trailer,trl
A03512164,1,30000073,2019-02-08T13:29:42.000Z,2019-02-08T13:09:31.000Z,P50558,cvs_migrated_tester@dvsa.gov.uk,B453913,t,trailer,trl
A03525206,1,30000074,2018-11-26T11:58:08.000Z,2018-11-26T11:56:21.000Z,H00030,cvs_migrated_tester@dvsa.gov.uk,B454167,t,trailer,trl
A03527092,1,30000075,2018-12-19T15:22:45.000Z,2018-12-19T15:21:29.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B454203,t,trailer,trl
A03542334,1,30000076,2019-04-01T13:38:21.000Z,2019-04-01T12:41:27.000Z,H00103,cvs_migrated_tester@dvsa.gov.uk,B454624,t,trailer,trl
A03542466,1,30000077,2019-02-25T11:57:48.000Z,2019-02-25T11:56:35.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B454625,t,trailer,trl
A03550381,1,30000078,2019-08-28T12:02:45.000Z,2019-08-28T11:40:33.000Z,H00038,cvs_migrated_tester@dvsa.gov.uk,B454853,t,trailer,trl
A03555485,1,30000079,2019-03-20T12:28:42.000Z,2019-03-20T11:13:44.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B454998,t,trailer,trl
A03555485,1,30000080,2019-03-25T10:34:49.000Z,2019-03-25T10:06:14.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B454998,t,trailer,trl
A03562363,1,30000081,2019-05-03T08:49:24.000Z,2019-05-03T08:26:46.000Z,P50477,cvs_migrated_tester@dvsa.gov.uk,B455178,t,trailer,trl
A03568983,1,30000082,2019-06-19T14:23:23.000Z,2019-06-19T14:09:24.000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,B455348,t,trailer,trl
A03576843,1,30000083,2019-08-27T00:00:00.000Z,2019-08-27T00:00:00.000Z,H00096,cvs_migrated_tester@dvsa.gov.uk,B455548,t,trailer,trl
A03580598,1,30000084,2019-07-03T11:30:50.000Z,2019-07-03T11:10:06.000Z,P50543,cvs_migrated_tester@dvsa.gov.uk,B455621,t,trailer,trl
A03589608,1,30000085,2019-09-24T15:27:58.000Z,2019-09-24T12:28:25.000Z,H00103,cvs_migrated_tester@dvsa.gov.uk,B455872,t,trailer,trl
A03593138,1,30000086,2019-08-21T10:20:35.000Z,2019-08-21T09:55:46.000Z,P50543,cvs_migrated_tester@dvsa.gov.uk,B455935,t,trailer,trl
A03599692,1,30000087,2019-09-23T08:05:17.000Z,2019-09-23T07:46:23.000Z,P50537,cvs_migrated_tester@dvsa.gov.uk,B456039,t,trailer,trl
A03600885,1,30000088,2019-09-13T14:31:26.000Z,2019-09-13T13:31:38.000Z,P50532,cvs_migrated_tester@dvsa.gov.uk,B456065,t,trailer,trl
